# api_shortname, googleapis-folder, distribution_name:version, googleapis_committish
redis, google/cloud/redis, com.google.cloud:google-cloud-redis:2.10.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
resourcesettings, google/cloud/resourcesettings, com.google.cloud:google-cloud-resource-settings:1.7.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
retail, google/cloud/retail, com.google.cloud:google-cloud-retail:2.9.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
cloudscheduler, google/cloud/scheduler, com.google.cloud:google-cloud-scheduler:2.7.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
secretmanager, google/cloud/secretmanager, com.google.cloud:google-cloud-secretmanager:2.7.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
securitycenter, google/cloud/securitycenter, com.google.cloud:google-cloud-securitycenter:2.15.0, 6aff6786b511f8faaf2fd2288385f4ffc1e33d3c
privateca, google/cloud/security/privateca, com.google.cloud:google-cloud-security-private-ca:2.9.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
servicecontrol, google/api/servicecontrol, com.google.cloud:google-cloud-service-control:1.7.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
servicedirectory, google/cloud/servicedirectory, com.google.cloud:google-cloud-servicedirectory:2.8.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
servicemanagement, google/api/servicemanagement, com.google.cloud:google-cloud-service-management:3.5.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
serviceusage, google/api/serviceusage, com.google.cloud:google-cloud-service-usage:2.7.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
cloudshell, google/cloud/shell, com.google.cloud:google-cloud-shell:2.6.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
speech, google/cloud/speech, com.google.cloud:google-cloud-speech:4.2.0, 4c253358b1d4add3bf74707d5f58d44e044c5da8
storagetransfer, google/storagetransfer, com.google.cloud:google-cloud-storage-transfer:1.7.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
jobs, google/cloud/talent, com.google.cloud:google-cloud-talent:2.8.0, 
cloudtasks, google/cloud/tasks, com.google.cloud:google-cloud-tasks:2.7.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
texttospeech, google/cloud/texttospeech, com.google.cloud:google-cloud-texttospeech:2.8.0, a1b5429eec257c4f3a8425b20d4689d1df5812bc
tpu, google/cloud/tpu, com.google.cloud:google-cloud-tpu:2.8.0, 93c3e0eb6b4a4063daa4c9f89c488058699efe2b
cloudtrace, google/devtools/cloudtrace, com.google.cloud:google-cloud-trace:2.7.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
videointelligence, google/cloud/videointelligence, com.google.cloud:google-cloud-video-intelligence:2.6.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
transcoder, google/cloud/video/transcoder, com.google.cloud:google-cloud-video-transcoder:1.6.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
vision, google/cloud/vision, com.google.cloud:google-cloud-vision:3.5.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
vmmigration, google/cloud/vmmigration, com.google.cloud:google-cloud-vmmigration:1.7.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
vpcaccess, google/cloud/vpcaccess, com.google.cloud:google-cloud-vpcaccess:2.8.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
webrisk, google/cloud/webrisk, com.google.cloud:google-cloud-webrisk:2.6.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
websecurityscanner, google/cloud/websecurityscanner, com.google.cloud:google-cloud-websecurityscanner:2.7.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
workflowexecutions, google/cloud/workflows/executions, com.google.cloud:google-cloud-workflow-executions:2.7.0, 807125e7953e32535710924fe4bf0362ac93754d
workflows, google/cloud/workflows, com.google.cloud:google-cloud-workflows:2.7.0, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55
