# api_shortname, distribution_name:version, library_type, transport, group_id, release_level
recommender, com.google.cloud:google-cloud-recommender:2.7.0, GAPIC_AUTO, grpc, com.google.cloud, stable
redis, com.google.cloud:google-cloud-redis:2.8.0, GAPIC_AUTO, grpc, com.google.cloud, stable
resourcesettings, com.google.cloud:google-cloud-resource-settings:1.5.0, GAPIC_AUTO, grpc, com.google.cloud, stable
retail, com.google.cloud:google-cloud-retail:2.7.0, GAPIC_AUTO, grpc, com.google.cloud, stable
cloudscheduler, com.google.cloud:google-cloud-scheduler:2.5.0, GAPIC_AUTO, grpc, com.google.cloud, stable
secretmanager, com.google.cloud:google-cloud-secretmanager:2.5.0, GAPIC_AUTO, grpc, com.google.cloud, stable
securitycenter, com.google.cloud:google-cloud-securitycenter:2.13.0, GAPIC_AUTO, grpc, com.google.cloud, stable
privateca, com.google.cloud:google-cloud-security-private-ca:2.7.0, GAPIC_AUTO, grpc, com.google.cloud, stable
servicecontrol, com.google.cloud:google-cloud-service-control:1.5.0, GAPIC_AUTO, grpc, com.google.cloud, stable
servicedirectory, com.google.cloud:google-cloud-servicedirectory:2.6.0, GAPIC_AUTO, grpc, com.google.cloud, stable
servicemanagement, com.google.cloud:google-cloud-service-management:3.3.0, GAPIC_AUTO, grpc, com.google.cloud, stable
serviceusage, com.google.cloud:google-cloud-service-usage:2.5.0, GAPIC_AUTO, grpc, com.google.cloud, stable
cloudshell, com.google.cloud:google-cloud-shell:2.4.0, GAPIC_AUTO, grpc, com.google.cloud, stable
speech, com.google.cloud:google-cloud-speech:4.0.0, GAPIC_AUTO, grpc, com.google.cloud, stable
storagetransfer, com.google.cloud:google-cloud-storage-transfer:1.5.0, GAPIC_AUTO, grpc, com.google.cloud, stable
jobs, com.google.cloud:google-cloud-talent:2.6.0, GAPIC_AUTO, grpc, com.google.cloud, stable
cloudtasks, com.google.cloud:google-cloud-tasks:2.5.0, GAPIC_AUTO, grpc, com.google.cloud, stable
texttospeech, com.google.cloud:google-cloud-texttospeech:2.6.0, GAPIC_AUTO, grpc, com.google.cloud, stable
tpu, com.google.cloud:google-cloud-tpu:2.6.0, GAPIC_AUTO, grpc, com.google.cloud, stable
cloudtrace, com.google.cloud:google-cloud-trace:2.5.0, GAPIC_AUTO, grpc, com.google.cloud, stable
videointelligence, com.google.cloud:google-cloud-video-intelligence:2.4.0, GAPIC_AUTO, grpc, com.google.cloud, stable
transcoder, com.google.cloud:google-cloud-video-transcoder:1.4.0, GAPIC_AUTO, grpc, com.google.cloud, stable
vision, com.google.cloud:google-cloud-vision:3.3.0, GAPIC_AUTO, grpc, com.google.cloud, stable
vmmigration, com.google.cloud:google-cloud-vmmigration:1.5.0, GAPIC_AUTO, grpc, com.google.cloud, stable
vpcaccess, com.google.cloud:google-cloud-vpcaccess:2.6.0, GAPIC_AUTO, grpc, com.google.cloud, stable
webrisk, com.google.cloud:google-cloud-webrisk:2.4.0, GAPIC_AUTO, grpc, com.google.cloud, stable
websecurityscanner, com.google.cloud:google-cloud-websecurityscanner:2.5.0, GAPIC_AUTO, grpc, com.google.cloud, stable
workflowexecutions, com.google.cloud:google-cloud-workflow-executions:2.5.0, GAPIC_AUTO, grpc, com.google.cloud, stable
workflows, com.google.cloud:google-cloud-workflows:2.5.0, GAPIC_AUTO, grpc, com.google.cloud, stable
