# api_shortname, googleapis-folder, distribution_name:version, googleapis_committish, monorepo_folder
cloudshell, google/cloud/shell/v1, com.google.cloud:google-cloud-shell, b5b457107dc6a34527f9304e44363611313674d0, java-shell
speech, google/cloud/speech/v2, com.google.cloud:google-cloud-speech, 7ee7867d60d1e16587f184788bdd4b1f6c40345c, java-speech
storagetransfer, google/storagetransfer/v1, com.google.cloud:google-cloud-storage-transfer, 42ba7e6302f5e0f10ac2b9b17f5b6d568ecae02d, java-storage-transfer
jobs, google/cloud/talent/v4, com.google.cloud:google-cloud-talent, 42ba7e6302f5e0f10ac2b9b17f5b6d568ecae02d, java-talent
cloudtasks, google/cloud/tasks/v2, com.google.cloud:google-cloud-tasks, b5b457107dc6a34527f9304e44363611313674d0, java-tasks
texttospeech, google/cloud/texttospeech/v1, com.google.cloud:google-cloud-texttospeech, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-texttospeech
tpu, google/cloud/tpu/v2, com.google.cloud:google-cloud-tpu, 42ba7e6302f5e0f10ac2b9b17f5b6d568ecae02d, java-tpu
cloudtrace, google/devtools/cloudtrace/v2, com.google.cloud:google-cloud-trace, 685d3599bb907ced432c0cc392ebcba2c04250e7, java-trace
videointelligence, google/cloud/videointelligence/v1, com.google.cloud:google-cloud-video-intelligence, 42ba7e6302f5e0f10ac2b9b17f5b6d568ecae02d, java-video-intelligence
transcoder, google/cloud/video/transcoder/v1, com.google.cloud:google-cloud-video-transcoder, b5b457107dc6a34527f9304e44363611313674d0, java-video-transcoder
vmmigration, google/cloud/vmmigration/v1, com.google.cloud:google-cloud-vmmigration, 42ba7e6302f5e0f10ac2b9b17f5b6d568ecae02d, java-vmmigration
vpcaccess, google/cloud/vpcaccess/v1, com.google.cloud:google-cloud-vpcaccess, 42ba7e6302f5e0f10ac2b9b17f5b6d568ecae02d, java-vpcaccess
webrisk, google/cloud/webrisk/v1, com.google.cloud:google-cloud-webrisk, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55, java-webrisk
websecurityscanner, google/cloud/websecurityscanner/v1, com.google.cloud:google-cloud-websecurityscanner, 758f0d1217d9c7fe398aa5efb1057ce4b6409e55, java-websecurityscanner
workflowexecutions, google/cloud/workflows/executions/v1, com.google.cloud:google-cloud-workflow-executions, b84b4fe3d9ad3ef8c06aaa00114f53061169c531, java-workflow-executions
workflows, google/cloud/workflows/v1, com.google.cloud:google-cloud-workflows, 42ba7e6302f5e0f10ac2b9b17f5b6d568ecae02d, java-workflows
